Tipo,Tempo(milisec),N
Fib_1,0.0025,10
Fib_2,0.0022,10
Fib_3,0.0017,10
Fib_c_1,0.0021,10
Fib_c_2,0.0047,10
Fib_c_3,0.0034,10
Fib_c_4,0.003,10
Fib_1,0.0022,20
Fib_2,0.0018,20
Fib_3,0.0013,20
Fib_c_1,0.0218,20
Fib_c_2,0.0017,20
Fib_c_3,0.0012,20
Fib_c_4,0.0021,20
Fib_1,0.0017,30
Fib_2,0.0158,30
Fib_3,0.0017,30
Fib_c_1,0.0013,30
Fib_c_2,0.0009,30
Fib_c_3,0.0038,30
Fib_c_4,0.0038,30
Fib_1,0.0039,40
Fib_2,0.0017,40
Fib_3,0.0018,40
Fib_c_1,0.0022,40
Fib_c_2,0.0022,40
Fib_c_3,0.0017,40
Fib_c_4,0.0063,40
Fib_1,0.0021,50
Fib_2,0.0017,50
Fib_3,0.003,50
Fib_c_1,0.0035,50
Fib_c_2,0.0034,50
Fib_c_3,0.0013,50
Fib_c_4,0.0017,50
